wikidata;code;tokens;type
Q15;AF_;afrique;cont
Q828;AM_;amérique;cont
Q48;AS_;asie;cont
Q46;EU_;europe;cont
Q538;OC_;océanie;cont
Q51;AN_;antarctique;cont
Q27433;AF_centra;afrique centrale;subcont
Q27407;AF_est;afrique de l est;subcont
Q27381;AF_nord;afrique du nord;subcont
Q4412;AF_ouest;afrique de l ouest;subcont
Q210682;AF_occid;afrique occidentale française;subcont
Q132959;AF_subsa;afrique subsaharienne;subcont
Q27394;AFR_austra;afrique australe;subcont
Q27611;AM_centra;amérique centrale;subcont
Q12585;AM_latin;amérique latine;subcont
Q49;AM_nord;amérique du nord;subcont
Q2017699;AM_septen;amérique septentrionale;subcont
Q18;AM_sud;amérique du sud;subcont
Q27275;AS_centra;asie centale;subcont
Q27231;AS_orient;asie orientale;subcont
Q12824780;AS_mineur;asie mineure;subcont
Q27293;AS_occid;asie occidentale;subcont
Q771405;AS_sud;asie du sud;subcont
Q11708;AS_sudest;asie du sud est;subcont
Q27509;EU_centra;europe centrale;subcont
Q900636;EU_centor;europe centre orientale;subcont
Q16389571;EU_median;europe mediane;subcont
Q27468;EU_est;europe de l est;subcont
Q27479;EU_nord;europe du nord;subcont
Q27496;EU_ouest;europe de l ouest;subcont
Q27449;EU_sud;europe du sud;subcont
Q263686;EU_sudes;europe du sud-est;subcont
Q1070940;XX_asipac;asie pacifique;region
Q23522;XX_balkan;balkans;region
Q664609;XX_caraib;caraïbes;region
Q60140;XX_indcon;sous-continent indien;region
Q5401;XX_eurasi;eurasie;region
Q503282;XX_machre;machrek;region
Q28227;XX_maghre;maghreb;region
Q7204;XX_moyori;moyen orient;region
Q48214;XX_proori;proche orient;region
Q21195;XX_scandi;scandinavie;region
Q25322;XX_arctiq;arctique;region
Q166131;XX_antill;les antilles;region
Q93259;XX_antpe;petites antilles;region
Q128011;XX_antgr;grandes antilles;region
Q37394;XX_melane;mélanésie;region
Q35942;XX_polyne;polynésie;region
Q3359409;XX_micron;micronésie;region
Q66065;XX_sahel;sahel;region
Q6583;XX_sahara;sahara;region
Q5456;XX_andes;andes;region
Q1286;XX_alpes;les alpes;region
Q5463;XX_rocheu;rocheuses;region
Q2841453;XX_amazo;amazonie;region
Q18869;XX_caucas;caucase;region
Q5451;XX_himalaya;himalaya;region
Q97;XX_atlant;ocean atlantique;region
Q98;XX_pacif;ocean pacifique;region
Q1239;XX_oceind;ocean indien;region
Q37660;XX_merchs;mer de chine méridionale;region
Q45341;XX_mercho;mer de chine orientale;region
Q4918;XX_medit;méditerranée;region
Q2271241;XX_eurmed;euroméditerranée;region
Q34675;XX_golper;golfe persique;region
