"id";"lang";"label";"desc"
"1";"Q15";"fr";"Afrique";"continent"
"2";"Q15";"de";"Afrika";"Kontinent auf der Nord- und Südhalbkugel der Erde"
"3";"Q15";"en";"Africa";"continent on the Earth's northern and southern hemispheres"
"4";"Q15";"tr";"Afrika";"Dünya'nın kuzey ve güney yarıkürelerindeki bir kıta"
"5";"Q15";"ar";"إفريقيا";"ثاني أكبر قارات العالم من حيث المساحة وعدد السكان، تأتي في المرتبة الثانية بعد آسيا"
"6";"Q828";"fr";"Amérique";"continent situé entre l'océan Atlantique et l'océan Pacifique"
"7";"Q828";"de";"Amerika";"Kontinent"
"8";"Q828";"en";"Americas";"landmass comprising the continents of North America and South America"
"9";"Q828";"tr";"Amerika";"Batı yarım küresi"
"10";"Q828";"ar";"الأمريكتان";"قارَّتا أمريكا الشمالية وأمريكا الجنوبية معاً"
"11";"Q48";"fr";"Asie";"continent"
"12";"Q48";"de";"Asien";"Kontinent auf der Erde, hauptsächlich im nordöstlichen Quadranten der Erde"
"13";"Q48";"en";"Asia";"continent on Earth, mainly on the Earth's northeastern quadrant"
"14";"Q48";"tr";"Asya";"Dünya'nın doğu yarıküresindeki bir kıta"
"15";"Q48";"ar";"آسيا";"قارة يقع أغلبها في الجزء الشرقي من الأرض"
"16";"Q46";"fr";"Europe";"continent"
"17";"Q46";"de";"Europa";"Kontinent auf der Erde, hauptsächlich im nordöstlichen Quadranten, beziehungsweise im nordwestlichen Eurasien"
"18";"Q46";"en";"Europe";"continent on Earth, mainly on the northeastern quadrant, i.e. north-western Eurasia"
"19";"Q46";"tr";"Avrupa";"Dünya'nın kuzey yarıküresindeki bir kıta"
"20";"Q46";"ar";"أوروبا";"إحدى قارات العالم السبع"
"21";"Q538";"fr";"Océanie";"continent"
"22";"Q538";"de";"Ozeanien";"Kontinent auf der Südhalbkugel"
"23";"Q538";"en";"Insular Oceania";"geographic region comprising Melanesia, Micronesia and Polynesia"
"24";"Q538";"tr";"Okyanusya";"Kıta"
"25";"Q538";"ar";"جزيرة أوقيانوسيا";"منطقة جغرافية تضم ميلانيزيا وميكرونيزيا وبولينيزيا"
"26";"Q51";"fr";"Antarctique";"continent le plus austral"
"27";"Q51";"de";"Antarktika";"Kontinent auf der Südhalbkugel der Erde"
"28";"Q51";"en";"Antarctica";"polar continent in the southern hemisphere"
"29";"Q51";"tr";"Antarktika";"Dünya'nın güney yarıküresindeki bir kıta"
"30";"Q51";"ar";"القارة القطبية الجنوبية";"قارة قطبية تقع في النصف الجنوبي من الكرة الأرضية"
"31";"Q5401";"fr";"Eurasie";"continent formé par l'Europe et l'Asie"
"32";"Q5401";"de";"Eurasien";"kontinentale Landmasse von Europa und Asien"
"33";"Q5401";"en";"Eurasia";"continental landmass comprising Europe and Asia"
"34";"Q5401";"tr";"Avrasya";"Ara Kıta"
"35";"Q5401";"ar";"أوراسيا";"كتلة أرضية مكونة من قارتي أوروبا و آسيا"
"36";"Q60140";"fr";"sous-continent indien";"zone géographique de l'Asie du Sud"
"37";"Q60140";"de";"indischer Subkontinent";"Landmasse südlich des Himalaya und ein Teil von Südasien"
"38";"Q60140";"en";"Indian subcontinent";"peninsular region in south-central Asia below the Himalayas"
"39";"Q60140";"tr";"Hint altkıtası";NA
"40";"Q60140";"ar";"شبه القارة الهندية";"منطقة في الهند"
"41";"Q27433";"fr";"Afrique centrale";"Région d'Afrique"
"42";"Q27433";"de";"Zentralafrika";"Region in Afrika"
"43";"Q27433";"en";"Central Africa";"core region of the African continent"
"44";"Q27433";"tr";"Orta Afrika";"Afrika kıtasının Burundi, Orta Afrika Cumhuriyeti, Çad, Kongo Demokratik Cumhuriyeti ve Ruanda'yı barındıran orta kısmı"
"45";"Q27433";"ar";"وسط أفريقيا";"منطقة رئيسية للقارة الأفريقية"
"46";"Q27407";"fr";"Afrique de l'Est";"région d'Afrique"
"47";"Q27407";"de";"Ostafrika";"Region in Afrika"
"48";"Q27407";"en";"East Africa";"easterly region of the African continent"
"49";"Q27407";"tr";"Doğu Afrika";NA
"50";"Q27407";"ar";"شرق أفريقيا";"المنطقة الشرقية للقارة الأفريقية"
"51";"Q27381";"fr";"Afrique du Nord";"région en Afrique"
"52";"Q27381";"de";"Nordafrika";"Region in Afrika"
"53";"Q27381";"en";"North Africa";"northernmost region of the African continent"
"54";"Q27381";"tr";"Kuzey Afrika";"Afrika kıtasının Fas, Cezayir, Tunus, Libya, Mısır ve Sudan'ı içeren kuzey bölgesi"
"55";"Q27381";"ar";"شمال أفريقيا";"سكان افريقيا في شمالها"
"56";"Q4412";"fr";"Afrique de l'Ouest";"région d'Afrique"
"57";"Q4412";"de";"Westafrika";"Kontinentalteil"
"58";"Q4412";"en";"West Africa";"region of Africa"
"59";"Q4412";"tr";"Batı Afrika";"Afrika'nın batısındaki 16 ülkenin bulunduğu alan"
"60";"Q4412";"ar";"غرب أفريقيا";"المنطقة الغربية للقارة الأفريقية"
"61";"Q210682";"fr";"Afrique-Occidentale française";"ancienne colonie française en Afrique"
"62";"Q210682";"de";"Französisch-Westafrika";"Föderation der französischen Kolonien in Westafrika 1895–1958"
"63";"Q210682";"en";"French West Africa";"French colonial federation (1895–1958)"
"64";"Q210682";"tr";"Fransız Batı Afrikası";"Afrika kıtasının batısında 1895-1958 yılları arasında Fransa'nın bu bölgede sahip olduğu koloni bölgelerini bir federasyon çatısı altında topladığı bölgenin tümüne verilen isi"
"65";"Q210682";"ar";"غرب أفريقيا الفرنسي";NA
"66";"Q132959";"fr";"Afrique subsaharienne";"partie du continent africain au sud du Sahara"
"67";"Q132959";"de";"Subsahara-Afrika";"südlich der Sahara gelegener Teil Afrikas"
"68";"Q132959";"en";"Sub-Saharan Africa";"area of the continent of Africa that lies south of the Sahara Desert"
"69";"Q132959";"tr";"Sahraaltı Afrika";NA
"70";"Q132959";"ar";"أفريقيا جنوب الصحراء";"جزء من القارة الأفريقية يقع جنوب الصحراء الكبرى"
"71";"Q27394";"fr";"Afrique australe";"région la plus méridionale du continent africain"
"72";"Q27394";"de";"Südliches Afrika";"Region in Afrika"
"73";"Q27394";"en";"Southern Africa";"southernmost region of the African continent"
"74";"Q27394";"tr";"Güney Afrika";NA
"75";"Q27394";"ar";"أفريقيا الجنوبية";"المنطقة الجنوبية للقارة الأفريقية"
"76";"Q27611";"fr";"Amérique centrale";"région la plus méridionale de l'Amérique du Nord, située entre le Mexique et l'Amérique du Sud et comprenant le Belize, le Guatemala, le Salvador, le Honduras, le Nicaragua, le Costa Rica et le Panama"
"77";"Q27611";"de";"Zentralamerika";"südlichste Region Nordamerikas"
"78";"Q27611";"en";"Central America";"southernmost region of North America, lying between Mexico and South America and comprising Panama, Costa Rica, Nicaragua, Honduras, El Salvador, Guatemala, and Belize"
"79";"Q27611";"tr";"Orta Amerika";"Kuzey Amerika'nın en güneydeki bölgesi, Meksika ve Güney Amerika arasında uzanan ve Panama, Kosta Rika, Nikaragua, Honduras, El Salvador, Guatemala ve Belize'den oluşur"
"80";"Q27611";"ar";"أمريكا الوسطى";"منطقة أقصى جنوب أمريكا الشمالية ، تقع بين المكسيك وأمريكا الجنوبية وتضم بنما وكوستاريكا ونيكاراغوا وهندوراس والسلفادور وغواتيمالا وبليز"
"81";"Q12585";"fr";"Amérique latine";"partie du continent américain où les langues latines prédominent"
"82";"Q12585";"de";"Lateinamerika";"spanisch- und portugiesischsprachige Länder Amerikas"
"83";"Q12585";"en";"Latin America";"region of the Americas where Romance languages are primarily spoken"
"84";"Q12585";"tr";"Latin Amerika";NA
"85";"Q12585";"ar";"أمريكا اللاتينية";"منطقة من الأمريكيتين تسود فيها اللغات الرومانسية ذات الأصل اللاتيني"
"86";"Q49";"fr";"Amérique du Nord";"sous-continent de l'Amérique comprenant l'Amérique centrale"
"87";"Q49";"de";"Nordamerika";"Kontinent auf der Nordhalbkugel der Erde"
"88";"Q49";"en";"North America";"continent on the Earth's northwestern quadrant"
"89";"Q49";"tr";"Kuzey Amerika";"Dünya'nın kuzey yarıküresindeki bir kıta"
"90";"Q49";"ar";"أمريكا الشمالية";"قارة تقع في النصف الشمالي من كوكب الأرض"
"91";"Q2017699";"fr";"Amérique septentrionale";"Canada, États-Unis, Bermudes, Groenland et Saint-Pierre-et-Miquelon"
"92";"Q2017699";"de";"Nordamerika";NA
"93";"Q2017699";"en";"Northern America";"the northernmost region of North America, which consists of Canada, the United States, and Greenland"
"94";"Q2017699";"tr";NA;NA
"95";"Q2017699";"ar";"شمال أمريكا";NA
"96";"Q18";"fr";"Amérique du Sud";"continent des Amériques, situé principalement sur le cadran sud-ouest de la Terre"
"97";"Q18";"de";"Südamerika";"Kontinent, welcher sich hauptsächlich im südwestlichen Quadranten der Erde befindet"
"98";"Q18";"en";"South America";"continent, mainly on the Earth's southwestern quadrant"
"99";"Q18";"tr";"Güney Amerika";"Dünya'nın güney ve kuzey yarıkürelerindeki bir kıta"
"100";"Q18";"ar";"أمريكا الجنوبية";"قارة يقع أكثرها في الجزء الجنوبي من الأرض"
"101";"Q27275";"fr";"Asie centrale";"région d'Asie"
"102";"Q27275";"de";"Zentralasien";"Region in Asien"
"103";"Q27275";"en";"Central Asia";"core region of the Asian continent"
"104";"Q27275";"tr";"Orta Asya";"Asya'nın okyanuslardan uzak iç kesimi"
"105";"Q27275";"ar";"آسيا الوسطى";"منطقة جغرافية تقع في وسط آسيا"
